"","Year","Area","Street","Street 2"
"1",2011,"Birmingham","Acocks  Green",NA
"2",2011,"Birmingham","Adderly  str.",NA
"3",2011,"Birmingham","Alcester  Raod,  Mosley",NA
"4",2011,"Birmingham","Alcester  rd.",NA
"5",2011,"Birmingham","Alcester  rd.  Moseley",NA
"6",2011,"Birmingham","Alcester  rd.  Moseley",NA
"7",2011,"Birmingham","Alfred  str.",NA
"8",2011,"Birmingham","All  Service  Club,  Mosley",NA
"9",2011,"Birmingham","Alum  Rock  rd.",NA
"10",2011,"Birmingham","Alum  Rock  rd.",NA
"11",2011,"Birmingham","Alum  Rock  rd.",NA
"12",2011,"Birmingham","Alum  Rock  rd.",NA
"13",2011,"Birmingham","Arcadian  Centre",NA
"14",2011,"Birmingham","Arden  rd.,  Saltley",NA
"15",2011,"Birmingham","Asda,  Chemsley  Wood",NA
"16",2011,"Birmingham","Balsahll  Heath  Park,  J/W  Brighton  rd.",NA
"17",2011,"Birmingham","Bamford  rd.",NA
"18",2011,"Birmingham","Bamford  rd.",NA
"19",2011,"Birmingham","Beechbrook  av.  Sparkhill",NA
"20",2011,"Birmingham","Belchers  Lane",NA
"21",2011,"Birmingham","Belchers  Lane",NA
"22",2011,"Birmingham","Belchers  Lane",NA
"23",2011,"Birmingham","Belchers  Lane,  Bordesley  Green",NA
"24",2011,"Birmingham","Bell  str.",NA
"25",2011,"Birmingham","Berkley  Rd  East  ,    Haymills.",NA
"26",2011,"Birmingham","Birmingham  Airport",NA
"27",2011,"Birmingham","Birmingham   Nternational  Railway  Station",NA
"28",2011,"Birmingham","Bordesley  Green",NA
"29",2011,"Birmingham","Bordesley  Green  ,    Bordesley  Green.",NA
"30",2011,"Birmingham","Bristol  rd.",NA
"31",2011,"Birmingham","Bristol  str.",NA
"32",2011,"Birmingham","Broad  str.",NA
"33",2011,"Birmingham","Broad  str.",NA
"34",2011,"Birmingham","Broad  str.  Birmingham",NA
"35",2011,"Birmingham","Buckland  End  Lane  Shard  End",NA
"36",2011,"Birmingham","Bulls  Head  Ph,  St  Marys  Row",NA
"37",2011,"Birmingham","Bushbury  rd.,  Kitts  Green",NA
"38",2011,"Birmingham","Chartice  rd.",NA
"39",2011,"Birmingham","Chestnut  rd.",NA
"40",2011,"Birmingham","Church  Rd,  Stechford",NA
